"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"BROWN & BRYANT, INC. (ARVIN PLANT)","Manufacturing/Processing/Maintenance","Chemicals and allied products","ARVIN","KERN","CA","06029","CAD052384021",53.36,"100 year zone","Not in sea level rise area",1,1985-08-01,1989-10-04,NA,6020,1553,25859,59540,0.61,0.34,0.02,0.07,0,0.92,778,2258,35.20306,-118.822
"COOPER DRUM CO.","Recycling","Drums/tanks","SOUTH GATE","LOS ANGELES","CA","06037","CAD055753370",50.1,"500 year zone","Not in sea level rise area",0,1988-01-01,2001-06-14,NA,29786,7401,33567,66934,0.53,0.22,0.01,0.03,0.01,0.95,2469,8888,33.94697,-118.17969
"INTEL CORP. (MOUNTAIN VIEW PLANT)","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","MOUNTAIN VIEW","SANTA CLARA","CA","06085","CAD061620217",31.94,"500 year zone","Not in sea level rise area",0,1981-07-01,1986-06-10,NA,17026,7796,65000,141961,0.63,0.05,0.02,0.39,0.36,0.18,1515,3163,37.3962,-122.0566
"COAST WOOD PRESERVING","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","UKIAH","MENDOCINO","CA","06045","CAD063015887",44.73,"100 year zone","Not in sea level rise area",0,1979-04-01,1983-09-08,NA,1234,480,24915,77125,0.71,0.26,0.01,0.46,0.01,0.43,133,384,39.1125,-123.193
"INTEL MAGNETICS","Manufacturing/Processing/Maintenance","Multiple","SANTA CLARA","SANTA CLARA","CA","06085","CAD092212497",31.94,"500 year zone","Not in sea level rise area",0,1980-07-01,1986-06-10,NA,13115,4558,69970,118441,0.54,0.11,0.05,0.27,0.36,0.28,986,2957,37.3756,-121.9801
"FAIRCHILD SEMICONDUCTOR CORP. (MOUNTAIN VIEW PLANT)","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","MOUNTAIN VIEW","SANTA CLARA","CA","06085","CAD095989778",31.94,"500 year zone","Not in sea level rise area",0,1981-06-01,1991-02-11,NA,10911,4973,65000,141961,0.6,0.04,0.02,0.4,0.36,0.18,1030,2011,37.4012,-122.0542
"PEMACO MAYWOOD","Manufacturing/Processing/Maintenance","Chemicals and allied products","MAYWOOD","LOS ANGELES","CA","06037","CAD980737092",45.23,"500 year zone","Not in sea level rise area",1,1995-02-10,1999-01-19,NA,30281,7570,30817,61250,0.72,0.29,0.01,0.03,0.01,0.95,2583,9387,33.98541,-118.17125
"SOUTHERN CALIFORNIA EDISON CO. (VISALIA POLEYARD)","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","VISALIA","TULARE","CA","06107","CAD980816466",53.36,"100 year zone","Not in sea level rise area",1,1981-06-01,1989-03-31,2009-09-25,8391,2949,17379,61443,0.56,0.34,0.04,0.35,0.05,0.55,820,2623,36.33333,-119.2767
"SAN GABRIEL VALLEY (AREA 2)","Other","Ground water plume site with no identifiable source","BALDWIN PARK","LOS ANGELES","CA","06037","CAD980818512",42.24,"500 year zone","Not in sea level rise area",0,1980-04-01,1984-05-08,NA,25063,6983,49773,88029,0.35,0.11,0.03,0.14,0.18,0.63,1234,5914,34.07361,-117.9361
"HEWLETT-PACKARD (620-640 PAGE MILL ROAD)","Manufacturing/Processing/Maintenance","Electronic/electrical equipment","PALO ALTO","SANTA CLARA","CA","06085","CAD980884209",29.76,"500 year zone","Not in sea level rise area",0,1984-07-01,1990-02-21,NA,17537,6530,34434,179345,0.51,0.08,0.02,0.53,0.3,0.1,851,3621,37.4214,-122.1434
